epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9674,2.62408,3.33932,1.29273,0.58175,0.35086,0.35475,0.16345,2.01335,1.77317,1.04234,0.000368482,0.000368482,0.000368482
2,21.0066,2.02054,1.62645,1.06272,0.78163,0.45937,0.52901,0.25067,1.76368,1.32481,1.02483,0.000735158,0.000735158,0.000735158
3,30.7799,1.82676,1.25977,1.02887,0.82486,0.52979,0.60934,0.2889,1.73739,1.06971,0.9947,0.00109817,0.00109817,0.00109817
4,40.3615,1.75558,1.16868,1.01377,0.88366,0.55596,0.63733,0.34614,1.51219,0.96742,0.96305,0.0010945,0.0010945,0.0010945
5,49.9265,1.66852,1.101,0.99937,0.89539,0.57386,0.67663,0.35635,1.49892,0.92349,0.95469,0.001089,0.001089,0.001089
6,59.4128,1.63618,1.05083,0.99117,0.6904,0.57814,0.67859,0.36216,1.45757,0.88261,0.94933,0.0010835,0.0010835,0.0010835
7,68.9477,1.60366,1.02347,0.9872,0.83961,0.61993,0.67981,0.38331,1.40043,0.83077,0.93642,0.001078,0.001078,0.001078
8,78.591,1.56874,1.01791,0.97664,0.83121,0.62872,0.70313,0.40431,1.37908,0.81698,0.92927,0.0010725,0.0010725,0.0010725
9,88.1596,1.54259,0.96965,0.97523,0.90223,0.59439,0.67881,0.36762,1.42068,0.86795,0.93998,0.001067,0.001067,0.001067
10,97.7092,1.55789,0.98096,0.9749,0.78434,0.67599,0.71357,0.40749,1.38304,0.8098,0.9308,0.0010615,0.0010615,0.0010615
11,107.311,1.54165,0.968,0.97138,0.76596,0.5905,0.67801,0.37927,1.39723,0.85736,0.92944,0.00105601,0.00105601,0.00105601
12,116.956,1.49415,0.94066,0.96452,0.75729,0.63051,0.70944,0.40839,1.33927,0.79421,0.91705,0.00105051,0.00105051,0.00105051
13,126.544,1.52597,0.94687,0.96648,0.81238,0.66581,0.72535,0.42097,1.35132,0.77854,0.91737,0.00104501,0.00104501,0.00104501
14,136.219,1.48313,0.92886,0.96144,0.81957,0.64627,0.72606,0.42784,1.31412,0.76758,0.9177,0.00103951,0.00103951,0.00103951
15,145.808,1.4681,0.91203,0.95445,0.8489,0.66043,0.73023,0.43018,1.29739,0.73805,0.91022,0.00103401,0.00103401,0.00103401
16,155.41,1.4837,0.91542,0.95632,0.84326,0.66654,0.72638,0.42515,1.30959,0.74811,0.91369,0.00102851,0.00102851,0.00102851
17,164.93,1.46944,0.8999,0.95079,0.70676,0.61029,0.70803,0.41291,1.32618,0.78723,0.9132,0.00102301,0.00102301,0.00102301
